animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel,
26745,LAABG1060808008,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,棕色,ADULT,F,F,花旗二路,,OPEN,,,2017-12-01,2999-12-31,,2017/08/08,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/b23d5b95-6d05-4d38-b989-4dddb132b3b3_org.JPG,,,高雄市燕巢區師大路100號,07-6051002,
26747,LAABG1061114007,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,F,F,北一路,,OPEN,,,2017-12-01,2999-12-31,,2017/11/14,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/ff323f01-2740-4b2f-89b3-2b9941868787_org.JPG,,,高雄市燕巢區師大路100號,07-6051002,
26754,LAABG1060720003,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黃色,ADULT,F,F,和平路,,OPEN,,,2017-12-01,2999-12-31,,2017/07/20,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/b38c35ab-5613-497a-ba8f-385de110a0cc_org.JPG,,,高雄市燕巢區師大路100號,07-6051002,
26756,LAABG1060714006,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,F,F,八德一路,,OPEN,,,2017-12-01,2999-12-31,,2017/07/14,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/0d3fefa0-4b2c-479f-852b-dacd81249dea_org.JPG,,,高雄市燕巢區師大路100號,07-6051002,
26759,LAABG1060802008,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,F,F,土壠路,,OPEN,,,2017-12-01,2999-12-31,,2017/08/02,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/0a2ea031-8757-4f2a-b4f0-13df77851dc7_org.JPG,,,高雄市燕巢區師大路100號,07-6051002,
26760,LAABG1051220003,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,F,F,澄合街,,OPEN,,,2017-12-01,2999-12-31,2018/03/30,2016/12/20,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/b143c6b6-6197-4294-bca6-51f656330e6a_org.JPG,,2018/03/30,高雄市燕巢區師大路100號,07-6051002,
26814,LAABG1061211003,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,黑色,CHILD,F,F,通德路,,OPEN,,,2017-12-11,2999-12-31,2018/06/14,2017/12/11,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/57906e90-c440-49ae-9cfb-9cbf7362ee00_org.JPG,,2018/06/14,高雄市燕巢區師大路100號,07-6051002,
26828,LAABG1061211005,17,76,高雄市燕巢動物保護關愛園區,狗,M,SMALL,虎斑色,CHILD,F,F,民生路,,OPEN,,,2017-12-12,2999-12-31,2017/12/12,2017/12/11,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/a363abab-2390-4212-af4c-41a1200c640d_org.JPG,,2017/12/12,高雄市燕巢區師大路100號,07-6051002,
26829,LAABG1061211006,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,虎斑色,CHILD,F,F,民生路,,OPEN,,,2017-12-12,2999-12-31,2017/12/14,2017/12/11,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/7188c7e1-9ae6-4a89-b6c2-aba6c3eac617_org.JPG,,2017/12/14,高雄市燕巢區師大路100號,07-6051002,
26830,LAABG1061211007,17,76,高雄市燕巢動物保護關愛園區,狗,M,SMALL,虎斑色,CHILD,F,F,民生路※12/14送壽山,,OPEN,,,2017-12-12,2999-12-31,2017/12/14,2017/12/11,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/04dc685e-3d5b-4d9d-ae73-96ae29097076_org.JPG,,2017/12/14,高雄市燕巢區師大路100號,07-6051002,
